"Product Code","Availability"
"B1000SV-MP",1
"B1000SVR-WH",1
"DCS50-DB",1
"DCS50-MGN",1
"DCS50-NB",1
"DCS50-WR",1
"DCS50D-BKD",1
"DCS50D-RD",1
"GSB50-C5",1
"IAPC1",1
"IBAT011L",1
"IBAT011S",1
"IBJS5",1
"IGB651-KH",1
"IMDS4",1
"ISB4-YE",1
"JEMJRSP-PK",1
"MGB100C",1
"MM100C",1
"P1000ICHI-BK",1
"RG450DXB-WH",1
"RGR52ET-BK",1
"TMB100-BK",1
"WH10V3",1
"1B-AEG721-BOT",1
"4KBB20B-BK",1
"4PT4LA0013",0
"4WR001-CH",1
"8PCC7002",1
"AE100-BUF",1
"AEG1221-BOT",1
"AEG621-BOT",0
"AEG721-BOT",1
"AEWC621-BOT",1
"GA621-BOT",0
"GWS100",1
"IABS4C",1
"IABS4C32",1
"IABS4XC",1
"IABS4XC32",1
"ICGC10",1
"ICGC10W",1
"IGCX10",1
"IUBC301-BE",1
"IUBC301-BK",1
"IUBS301-BK",1
"IUBT301-BK",1
"PF15-BK",1
"PF15ECE-BK",1
"PF15ECE-NT",1
"PIACS6C",1
"PIACSP6C",1
"PICLS6HT",1
"PICLS6NT",1
"SI5",1
"SI5L",1
"TCY621-BOT",1
"1B-JBM27",1
"1B-RG450QMBSP",1
"1B-RG8EX-BKF",1
"2BB506-BFK",1
"2FREHB5-WK",1
"2MG0051L-GD",1
"2MG0080L-CH",0
"2MG0080R-CH",0
"2TRAT102L-BK",1
"3EMP3BA",0
"3EMPMIPZA",1
"3V504SAS01-SL",1
"3VPV25AL",1
"4N4163401RPBK",1
"4NUB5R-PBK",1
"4PGAAAML-RT",1
"540PIII-BK",1
"5ANT28B",0
"8PCC7004",1
"AR420-VLS",0
"AZ24S1F-VLS",1
"AZES40-MGR",1
"AZES40-PRB",1
"B1100GB",1
"DCS50D-CGY",1
"DCS50D-LBL",1
"DCS50D-MGN",1
"DCS50D-PBD",1
"GRG140-SB",0
"GRG140-WH",0
"GRG170DX-SV",1
"GRX70QA-SB",0
"GSLZ60LG-BK",1
"GSR105EX-BK",1
"GSR180-BK",1
"GSR200-BK",1
"GSR205-BK",1
"GSRM20-BK",1
"GSRM25-BK",0
"GWS32",1
"IFS2U",1
"IGB651-GY",0
"IGB681-BL",1
"IGB681-GY",1
"IGB681-KH",1
"IV1RG",1
"IV1SR",0
"IV2MDM",0
"IV2RG",0
"JBM27",1
"K7YANG",0
"K7YIN",0
"M510E-BS",1
"MS100C",0
"NDM5-SB",1
"PCE9H-SH",1
"PCP14H-C1",1
"PCP16H-C2",1
"PWM20",1
"RG420EX-BKF",1
"RG421-MOL",1
"RG421DX-TWS",0
"RG421EX-BKF",1
"RG450B-WK",1
"RG450QMB-SPB",0
"RG460DX-BLH",1
"RG470DX-TMN",1
"RG470DXFM-CS",1
"RG470DXW-CA",1
"RG550-BK",1
"RG7420EX-BKF",1
"RG7421EX-BKF",0
"RG8EX-BKF",1
"RGA42AH-BKS",1
"RGR6BSP-IPT",1
"RGRT420-WK",1
"RGRT421-WK",1
"S521-BBS",1
"S521-MOL",1
"S670QM-SPB",1
"SA260FM-VLS",1
"SA360NQM-SPB",0
"SR300E-IPT",1
"SR300E-PW",1
"SR300EB-CA",1
"SR300EB-WK",1
"SR300EB-WNF",1
"SR305E-PW",0
"SR305EB-WK",1
"SR305EB-WNF",1
"SR306EB-WK",1
"TMB100-MGR",1
"TMB100L-BK",0
"TMB30-BK",1
"TMB30-IV",1
"TMB420B-BKF",1
"TMB425B-BKF",1
"URGT100-BK",1
"1B-5AJB05F",1
"1B-AEGB30ENTG",1
"1B-GA3-OAM",1
"1B-GA5TCE-AM",1
"4CPC00A001BKF",1
"4CPT0006R-WBW",0
"4PT4LA0002",1
"4TRC0002-RBK",1
"AE160-VMS",1
"AE245-NT",1
"AEG5012-BKH",1
"AEG50N-BKH",1
"AEG70-TCH",1
"AEG7MH-OPN",1
"AEGB24E-BKH",1
"AEGB30E-NTG",1
"AEWC400-TKS",1
"AJ54E-OPN",1
"AJ70M1E-BK",1
"ALT50FA-TVT",0
"AMH90-BK",1
"AUT10-OPN",1
"AW8412CE-WK",1
"AW84CE-WK",1
"BER10",0
"GA3-OAM",1
"GA35TCE-NT",1
"GA3ECE-OAM",0
"GA5MHTCE-OPN",1
"GA5TCE-AM",1
"GA6CE-AM",1
"IAB541TW",1
"IACS6C",1
"IBBMIKRO",1
"ICB620-BKF",0
"ICLS6HT",1
"ICLS6NT",1
"IGB651-NB",1
"IGBMIKRO",1
"IGBQ724-BK",1
"M8M",1
"MRC10-NT",0
"MTZ11-BBK",1
"PC14MHCE-WK",1
"PCBE12MH-OPN",1
"PCBE14MH-WK",1
"RG550-RF",1
"RGMS7-BK",1
"TCM50-VBS",1
"TCY12E-OPN",1
"V40-OPN",1
"V40CE-OPN",1
"V40WSCE-OPB",0
"VC40WSCE-OPB",0
"VC44-OPN",1
"VC44CE-OPN",0
"1B-SRMS720BCM",1
"1B-URGT100SUR",1
"2MC0001L-GDB",0
"2MG0008R-BK",1
"3PUV8B4-FBB",1
"3VR1C500C",1
"4PRBN005-BK",1
"540PIII-PN",1
"5ECAHA1-GD",1
"8KBB5006",1
"8PCC7003",1
"AF55-TF",1
"AF75-BS",1
"AF75G-BKF",1
"AGB200-BKF",1
"AJ7012M1E-BK",0
"AM73G-BK",0
"AR320-MBM",0
"AR420-BMG",1
"AT100CL-SB",0
"AZ2203N-BK",1
"AZ22S1F-TKS",1
"AZ22S1F-TXB",1
"AZ2407F-SDE",0
"AZ24S1F-TKS",1
"AZ24S1F-TXB",1
"AZES31-AOC",1
"AZES40L-PRB",0
"AZS2209B-BK",1
"BTB25TH5-SLM",1
"BTB605-TGF",1
"BTB606-TGF",1
"BTB747-NTL",0
"EWP14WB-OPN",1
"FRH10N-NTF",1
"GRG120QASPBGD",1
"GRG120QASPBKG",0
"GRG121DX-BKF",0
"GRG121DX-WNF",1
"GRG131DX-BKF",1
"GRG170DX-BKN",1
"GRGA120-BKN",1
"GRGR131EX-BKF",1
"GRGR221PA-AQB",1
"GRGR330EX-BKF",1
"GRX120SP-VRD",1
"GRX40-BKN",1
"GRX40-CA",1
"GSA60-BKN",1
"GSA60-BS",1
"GSA60-WNF",1
"GSR180-BS",0
"GSR185-JB",1
"GSR186-PW",1
"GSR200-BPK",1
"GSR200-CEB",1
"GSR200-MGR",1
"GSR200-PW",1
"GSR200B-WK",1
"GSR200B-WNF",0
"GSR205B-WK",1
"GSR205B-WNF",1
"GSR206B-WNF",1
"GSRM20-BS",1
"GSRM20-MPL",1
"GSRM20-SLB",0
"GSRM20B-WK",1
"GSRM20B-WNF",1
"GSRM20L-BK",1
"GVB36-AM",0
"IACSP6C",1
"IEBS4CMK",1
"IEBS5CMK",1
"IGC10",1
"IGC10W",1
"IGCZ10",1
"IGCZ20",1
"ILS1-WH",1
"IPCS6C",1
"IUKS4",1
"JEMJR-BK",1
"JEMJR-WH",1
"JS2GD",1
"K5-BKF",1
"MF100C",1
"PCP14MH-C1",1
"PCP14XH-C1",1
"PCP16XH-C2",1
"PIEGS61",1
"RG421AHM-BMT",1
"RG421EX-PBE",1
"RG421EXL-BKF",1
"RG421PB-CHF",1
"RG421QM-CBB",1
"RG421S-SEM",1
"RG450QMB-TGB",1
"RG460DX-ROM",1
"RG470AHM-BMT",1
"RG470PB-REB",1
"RG550-EB",1
"RG550-PN",0
"RG565R-EB",1
"RG565R-LB",1
"RG565R-VK","unknown"
"RG7421EXL-BKF",1
"RG8570EM-NT","unknown"
"RGA42FM-BLF",1
"RGA42FM-TGF",1
"RGA742FM-TGF",1
"RGD621AH-MNF",0
"RGIB21-BK",0
"RGMS8-BK",1
"S520AH-ABS",0
"S520AH-OBF",0
"S621QM-DEB",1
"S670QM-DEB",1
"SA260FM-BRG",1
"SA260FM-TGB",1
"SA360NQM-BMG",1
"SR300E-CUB",0
"SR300E-DOT",1
"SR300E-SVM",1
"SR300EBL-WK",0
"SR305E-DOT",1
"SR305EBL-WK",1
"SR305EDX-RGC",1
"SR3500-BK",0
"SR3505-BK",0
"SR3506-BK",0
"SR370EF-BBT",1
"SR400EQM-DEB",0
"SR505EL-BM",1
"SR605E-BKT",0
"TMB100-TFB",0
"TMB30-MGR",1
"TMB35-MGR",1
"TMB400TA-CBS",0
"TMB400TA-IAB",1
"TMB405TA-CBS",1
"UEW12E-BIF",1
"UEW5E-OPN",1
"UEWT5E-OPN",1
"URGT100-SUR",1
"URGT100-SUY",1
"1B-AW65-LG",1
"1B-PF16WCE-NT",1
"1B-RGIB21-BK",1
"1B-TOD70",1
"3SWLDMX5-N",1
"4JP4LA0002",0
"4KBHV001-WHG",1
"AC340-OPN",0
"AC340CE-OPN",1
"AC390MHE-OPN","unknown"
"AE100-DBF",1
"AE140-WKH",1
"AE170-TBK",1
"AE275BT-LGS",1
"AE295-LGS",1
"AE340FMH-MHS",1
"AEG50-BAM",1
"AEG50-DHH",1
"AEG50L-BKH",1
"AEG74-MHS",1
"AEG74N-MHS",1
"AEGB24E-MHS",1
"AEWC400-AMS",1
"AG75G-BS",0
"AG95K-NT",1
"AMH90-IV",1
"ANB306",1
"AS53-TF",1
"AS73-TBC",1
"AS73G-BKF",0
"AS93BC-BK",1
"AS93SP-BK",1
"AW54-OPN",0
"AW5412CE-OPN",1
"AW54CE-OPN",1
"AW65-LG",1
"AW65ECE-LG",1
"AW70ECE-NT",1
"AZ26P1-BK",1
"EP5-BP",0
"FS40CL",1
"GA35TCE-SRR",1
"GA5FMTCE-OB",1
"GA5MHTCE-WK",1
"GL10",1
"IAB540-BK",1
"IAB541-BE",1
"IAB541-BK",1
"IAB541-BR",1
"IAB541D-BL",1
"IABB540-BK",1
"IACS12C",1
"IACS61C",1
"IACS62C",1
"IACSP61C",1
"IACSP62C",1
"IBB541TW",1
"IBB724-BK",1
"IC420FM-CRS",1
"IC420FM-VLS",1
"ICB540-BK",1
"ICB541-BR",1
"ICB541D-BL",1
"ICB720FM-CBS",1
"IGB541TW",1
"IGB571-WH",1
"ISHB724-BK",1
"KIKO100-TRR",1
"MDM1000-PW",0
"MDM1005-PW",0
"MDM1006-PW",0
"MDM1605-DTW",0
"PC12MH-OPN",1
"PC12MHCE-OPN",1
"PF12MHCE-OPN",1
"PF15-NT",1
"PF1512-NT",1
"PF1512ECE-NT",1
"PF15ECE-TBS",1
"PF16MWCE-OPN",1
"PF16WCE-NT",1
"Q54-BKF",1
"QX52-BKF",1
"TCM50-GBO",1
"TCM50FM-ODB",1
"TOD70",1
"UICT10-CA",1
"UICT10-MM",1
"UKS100-OPN",1
"V40LCE-OPN",0
"V44CE-WK",0
"VC44CE-WK",0
"1B-APEX30-MGM",1
"1B-AZ2203NATQ",1
"1B-AZ2204NWGR",1
"1B-BTB605MLMP",1
"1B-BTB625EXBK",1
"1B-ICTB721BKF",1
"1B-LB1-VL",1
"1B-RGRB620BKF",1
"1B-RGRTB621BK",1
"1B-S1070PBZCK",1
"1B-XPTB620BKF",1
"1B-XPTB720BKF",1
"2CL2-B",1
"2MG0022R-GDP",0
"3PUQMT2-FWN",1
"3PUQSN0-FW",0
"3PUS58B1-AGA",1
"540PIII-DY",1
"5ABP13E",1
"5S953M401RPIV",1
"8HDBN006",1
"AF55L-TF",0
"AF95-DA",0
"AFB200-TKS",1
"AR625FMSP-CML",0
"AS73-TTF",1
"AS73G-MSF",1
"ATZ300-BK",1
"AZ2203N-ATQ",1
"AZ2204-PW",1
"AZ2204B-BK",0
"AZ2204NW-GRM",1
"AZ2204NW-MGR",1
"AZ2204NW-PPK",1
"AZ2204NW-VR",0
"AZ2402-GRM",0
"AZ24047-BK",0
"AZ2407F-BSR",0
"AZS2200-MGR",1
"AZS2200F-STB",1
"AZS2209-ATQ",1
"BTB625EX-BKF",0
"BTB945-COL",1
"BTB946-COL",1
"EHB600-WNF",1
"EHB605-WNF",1
"EWP17M1E-SFO",1
"EWP17M2E-SMO",1
"FLATV1-BK",1
"FRH10N-BSF",1
"FRH10N-IBF",1
"GRG121DX-MGS",1
"GRG121DXL-WNF",0
"GRG121SP-BMC",0
"GRG170DXL-BKN",1
"GRG320FA-TBS",0
"GRG320FA-TEB",1
"GRG320FA-TKS",1
"GRG320FA-TRB",1
"GRG320FA-TVT","unknown"
"GRG7221QA-TKS",1
"GRGA120QA-TKS",1
"GRGM21M-BLT",0
"GRGM21M-MPL",0
"GRGR221FA-TDK",1
"GRX120SP-DDM",0
"GRX120SP-MLM",1
"GRX120SP-NGM",0
"GRX40-MGN",1
"GRX40-MLB",1
"GRX70QA-TBB",1
"GRX70QA-TKS",1
"GRX70QA-TRB",0
"GRX70QA-TVT",0
"GS100TOD",1
"GSR180-BEM",1
"GSR200BL-WNF",0
"GSR200PC-TMU",1
"GSR200SM-CNB",0
"GSR200SM-NGT",1
"GSR205PC-TMU",0
"GSR205SM-NGT",1
"GSR280QA-TMS",1
"GVB1006-AM",0
"ICHI00-VWH",1
"ICTB721-BKF",1
"IEGS6",1
"IEGS61",1
"IEGS61MK",1
"IEGS6HG",1
"IEGS7",1
"IEGS71",1
"IEGS8",1
"IGB724-BK",1
"JBBM40-PW",1
"JCSR2025-SSC",1
"JEM7VP-WH",1
"JEMJRL-WH",1
"JIVAX2-GH",1
"JS140M-SDL",1
"JS1GD",1
"JS2480-WH",1
"KRYS10",1
"LB1-BK",0
"LB1-VL",1
"LB1-WH",0
"M300C",1
"M510-DVS",1
"M510-OVS",1
"M522S-BS",1
"M522S-DVS",1
"M700S-AVS",1
"MTZ11-AMA",1
"P1000MH",1
"PGMM31-WH",0
"PIEGS6",1
"PJTC1",1
"PPA14HSG-BK",1
"PPA14HSG-DB",1
"PPA14HSG-WH",1
"PPA14HSG-YE",1
"PPA14MSG-BK",1
"PPA14MSG-DB",1
"PPA14MSG-WH",1
"PPA14MSG-YE",1
"PPA16HRG-BK",1
"PPA16HRG-WH",1
"PPA16HSG-BK",1
"PPA16HSG-DB",1
"PPA16HSG-RD",0
"PPA16HSG-WH",1
"PPA16HSG-YE",1
"PPA16MRG-BK",1
"PPA16MRG-WH",1
"PPA16MSG-BK",1
"PPA16MSG-DB",1
"PPA16MSG-RD",1
"PPA16MSG-WH",1
"PPA16MSG-YE",1
"PPA16XRG-BK",1
"PPA16XRG-WH",1
"PPA16XSG-BK",1
"PPA16XSG-DB",1
"PPA16XSG-WH",1
"PPA16XSG-YE",1
"RG470DX-SFM",1
"RG470DXW-WZM",0
"RG5120M-PRT",0
"RG5121RET-PRT",0
"RG5320C-PW","unknown"
"RG5320R-CSW",0
"RG550-DY",0
"RG631ALF-BCM",1
"RG653DX-WHF",1
"RG8527-BRE",0
"RG8527-BSR","unknown"
"RG8570-BRE",0
"RG8620AH-BQZ",0
"RGA42EX-BAM",1
"RGA42FM-DEF",1
"RGA742EX-BAM",1
"RGD61-BAM",1
"RGD7521PB-DSF",1
"RGDR4327R-NTF",0
"RGDRB71-BKF",0
"RGIXL7-BKF",1
"RGR5130-GRM","unknown"
"RGR5130-KM",1
"RGR5130R-GRM",0
"RGR5130R-KM",0
"RGR662AHBF-WK",0
"RGR752AHBF-WK","unknown"
"RGR762AHBF-WK",0
"RGRB620-BKF",1
"RGRB720-BKF",1
"RGRTB621-BKF",0
"S6670SK-STB",0
"S770-CZM",1
"SR300EDX-BZM",1
"SR300EDX-CZM",1
"SR300EDX-WZM",1
"SR305EDX-BZM",0
"SR305EDX-CZM",1
"SR305EDX-WZM",1
