;;;;;;;;
;SONOR Pricelist 2026;;;RRP €;Dealer Base €;EAN;UPC;Free-Stock [pcs.]
;;;;;;;;
1;Drums;;;;;;;
1.1;MOMENTUM Drum Series;;;;;;;
1.1.1;MOMENTUM Shell Sets;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.1.1;16282524;MT Maple 322 Shell Set NM #REP;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Maple, Red Pearl";3 695,00 €;2 359,83 €;4044661759736;829193760337;0
1.1.1;16282136;MT Beech 322 Shell Set NM #GTB;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Beech, GT Black";3 455,00 €;2 206,55 €;4044661759422;829193760023;0
1.1.1;16282336;MT Birch 322 Shell Set NM #GTB;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Birch, GT Black";3 645,00 €;2 327,90 €;4044661759583;829193760184;0
1.1.1;16282536;MT Maple 322 Shell Set NM #GTB;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Maple, GT Black";3 845,00 €;2 455,63 €;4044661759743;829193760344;0
1.1.1;16282140;MT Beech 322 Shell Set NM #SPW;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Beech, Satin Pure White";3 455,00 €;2 206,55 €;4044661759439;829193760030;0
1.1.1;16282340;MT Birch 322 Shell Set NM #SPW;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Birch, Satin Pure White";3 645,00 €;2 327,90 €;4044661759590;829193760191;0
1.1.1;16282540;MT Maple 322 Shell Set NM #SPW;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Maple, Satin Pure White";3 845,00 €;2 455,63 €;4044661759750;829193760351;0
1.1.1;16282182;MT Beech 322 Shell Set NM #CBU;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Beech, California Burl";3 345,00 €;2 136,30 €;4044661759446;829193760047;0
1.1.1;16282382;MT Birch 322 Shell Set NM #CBU;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Birch, California Burl";3 535,00 €;2 257,65 €;4044661759606;829193760207;0
1.1.1;16282582;MT Maple 322 Shell Set NM #CBU;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Maple, California Burl";3 735,00 €;2 385,38 €;4044661759767;829193760368;0
1.1.1;16283124;MT Beech 324 Shell Set NM #REP;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Beech, Red Pearl";3 405,00 €;2 174,62 €;4044661759453;829193760054;0
1.1.1;16283324;MT Birch 324 Shell Set NM #REP;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Birch, Red Pearl";3 535,00 €;2 257,65 €;4044661759613;829193760214;0
1.1.1;16283524;MT Maple 324 Shell Set NM #REP;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Maple, Red Pearl";3 765,00 €;2 404,54 €;4044661759774;829193760375;0
1.1.1;16283136;MT Beech 324 Shell Set NM #GTB;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Beech, GT Black";3 555,00 €;2 270,42 €;4044661759460;829193760061;0
1.1.1;16283336;MT Birch 324 Shell Set NM #GTB;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Birch, GT Black";3 785,00 €;2 417,31 €;4044661759620;829193760221;0
1.1.1;16283536;MT Maple 324 Shell Set NM #GTB;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Maple, GT Black";4 065,00 €;2 596,13 €;4044661759781;829193760382;0
1.1.1;16283140;MT Beech 324 Shell Set NM #SPW;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Beech, Satin Pure White";3 555,00 €;2 270,42 €;4044661759477;829193760078;0
1.1.1;16283340;MT Birch 324 Shell Set NM #SPW;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Birch, Satin Pure White";3 785,00 €;2 417,31 €;4044661759637;829193760238;0
1.1.1;16283540;MT Maple 324 Shell Set NM #SPW;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Maple, Satin Pure White";4 065,00 €;2 596,13 €;4044661759798;829193760399;0
1.1.1;16283182;MT Beech 324 Shell Set NM #CBU;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Beech, California Burl";3 455,00 €;2 206,55 €;4044661759484;829193760085;0
1.1.1;16283382;MT Birch 324 Shell Set NM #CBU;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Birch, California Burl";3 685,00 €;2 353,45 €;4044661759644;829193760245;0
1.1.1;16283582;MT Maple 324 Shell Set NM #CBU;"BD 24"" x 15.25"" (no Mount), TT 13"" x 9.25"", FT 16"" x 15.25"", Maple, California Burl";3 955,00 €;2 525,88 €;4044661759804;829193760405;0
;;;;;;;;
;;;;;;;;
1.1.2;MOMENTUM Bass Drums;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.1.2;16211124;MT Beech 18x14.25 BD NM #REP;"Bass Drum 18"" x 14.25"" (no Mount), Beech, Red Pearl";1 360,00 €;868,57 €;4044661748730;829193749332;3
1.1.2;16211136;MT Beech 18x14.25 BD NM #GTB;"Bass Drum 18"" x 14.25"" (no Mount), Beech, GT Black";1 560,00 €;996,30 €;4044661748747;829193749349;4
1.1.2;16211140;MT Beech 18x14.25 BD NM #SPW;"Bass Drum 18"" x 14.25"" (no Mount), Beech, Satin Pure White";1 560,00 €;996,30 €;4044661748754;829193749356;3
1.1.2;16211182;MT Beech 18x14.25 BD NM #CBU;"Bass Drum 18"" x 14.25"" (no Mount), Beech, California Burl";1 510,00 €;964,37 €;4044661748761;829193749363;0
1.1.2;16211324;MT Birch 18x14.25 BD NM #REP;"Bass Drum 18"" x 14.25"" (no Mount), Birch, Red Pearl";1 390,00 €;887,73 €;4044661748778;829193749370;4
1.1.2;16211336;MT Birch 18x14.25 BD NM #GTB;"Bass Drum 18"" x 14.25"" (no Mount), Birch, GT Black";1 570,00 €;1 002,69 €;4044661748785;829193749387;4
1.1.2;16211340;MT Birch 18x14.25 BD NM #SPW;"Bass Drum 18"" x 14.25"" (no Mount), Birch, Satin Pure White";1 570,00 €;1 002,69 €;4044661748792;829193749394;5
1.1.2;16211382;MT Birch 18x14.25 BD NM #CBU;"Bass Drum 18"" x 14.25"" (no Mount), Birch, California Burl";1 520,00 €;970,76 €;4044661748808;829193749400;4
1.1.2;16211524;MT Maple 18x14.25 BD NM #REP;"Bass Drum 18"" x 14.25"" (no Mount), Maple, Red Pearl";1 500,00 €;957,98 €;4044661749119;829193749714;4
1.1.2;16211536;MT Maple 18x14.25 BD NM #GTB;"Bass Drum 18"" x 14.25"" (no Mount), Maple, GT Black";1 700,00 €;1 085,71 €;4044661749126;829193749721;3
1.1.2;16211540;MT Maple 18x14.25 BD NM #SPW;"Bass Drum 18"" x 14.25"" (no Mount), Maple, Satin Pure White";1 700,00 €;1 085,71 €;4044661749133;829193749738;4
1.1.2;16211582;MT Maple 18x14.25 BD NM #CBU;"Bass Drum 18"" x 14.25"" (no Mount), Maple, California Burl";1 570,00 €;1 002,69 €;4044661749140;829193749745;4
1.1.2;16213124;MT Beech 20x15.75 BD NM #REP;"Bass Drum 20"" x 15.75"" (no Mount), Beech, Red Pearl";1 380,00 €;881,34 €;4044661749157;829193749752;9
1.1.2;16213136;MT Beech 20x15.75 BD NM #GTB;"Bass Drum 20"" x 15.75"" (no Mount), Beech, GT Black";1 580,00 €;1 009,08 €;4044661749164;829193749769;13
1.1.2;16213140;MT Beech 20x15.75 BD NM #SPW;"Bass Drum 20"" x 15.75"" (no Mount), Beech, Satin Pure White";1 580,00 €;1 009,08 €;4044661749171;829193749776;11
1.1.2;16213182;MT Beech 20x15.75 BD NM #CBU;"Bass Drum 20"" x 15.75"" (no Mount), Beech, California Burl";1 530,00 €;977,14 €;4044661749188;829193749783;12
1.1.2;16213324;MT Birch 20x15.75 BD NM #REP;"Bass Drum 20"" x 15.75"" (no Mount), Birch, Red Pearl";1 580,00 €;1 009,08 €;4044661749195;829193749790;11
1.1.2;16213336;MT Birch 20x15.75 BD NM #GTB;"Bass Drum 20"" x 15.75"" (no Mount), Birch, GT Black";1 780,00 €;1 136,81 €;4044661749201;829193749806;10
1.1.2;16213340;MT Birch 20x15.75 BD NM #SPW;"Bass Drum 20"" x 15.75"" (no Mount), Birch, Satin Pure White";1 780,00 €;1 136,81 €;4044661749218;829193749813;10
1.1.2;16213382;MT Birch 20x15.75 BD NM #CBU;"Bass Drum 20"" x 15.75"" (no Mount), Birch, California Burl";1 730,00 €;1 104,87 €;4044661749225;829193749820;7
1.1.2;16213524;MT Maple 20x15.75 BD NM #REP;"Bass Drum 20"" x 15.75"" (no Mount), Maple, Red Pearl";1 630,00 €;1 041,01 €;4044661749232;829193749837;11
1.1.2;16213536;MT Maple 20x15.75 BD NM #GTB;"Bass Drum 20"" x 15.75"" (no Mount), Maple, GT Black";1 830,00 €;1 168,74 €;4044661749249;829193749844;7
1.1.2;16213540;MT Maple 20x15.75 BD NM #SPW;"Bass Drum 20"" x 15.75"" (no Mount), Maple, Satin Pure White";1 830,00 €;1 168,74 €;4044661749256;829193749851;12
1.1.2;16213582;MT Maple 20x15.75 BD NM #CBU;"Bass Drum 20"" x 15.75"" (no Mount), Maple, California Burl";1 780,00 €;1 136,81 €;4044661749263;829193749868;9
1.1.2;16215124;MT Beech 22x17.25 BD NM #REP;"Bass Drum 22"" x 17.25"" (no Mount), Beech, Red Pearl";1 630,00 €;1 041,01 €;4044661749270;829193749875;0
1.1.2;16215136;MT Beech 22x17.25 BD NM #GTB;"Bass Drum 22"" x 17.25"" (no Mount), Beech, GT Black";1 780,00 €;1 136,81 €;4044661749287;829193749882;0
1.1.2;16215140;MT Beech 22x17.25 BD NM #SPW;"Bass Drum 22"" x 17.25"" (no Mount), Beech, Satin Pure White";1 780,00 €;1 136,81 €;4044661749294;829193749899;4
1.1.2;16215182;MT Beech 22x17.25 BD NM #CBU;"Bass Drum 22"" x 17.25"" (no Mount), Beech, California Burl";1 730,00 €;1 104,87 €;4044661749300;829193749905;0
1.1.2;16215324;MT Birch 22x17.25 BD NM #REP;"Bass Drum 22"" x 17.25"" (no Mount), Birch, Red Pearl";1 780,00 €;1 136,81 €;4044661749317;829193749912;17
1.1.2;16215336;MT Birch 22x17.25 BD NM #GTB;"Bass Drum 22"" x 17.25"" (no Mount), Birch, GT Black";1 930,00 €;1 232,61 €;4044661749324;829193749929;3
1.1.2;16215340;MT Birch 22x17.25 BD NM #SPW;"Bass Drum 22"" x 17.25"" (no Mount), Birch, Satin Pure White";1 930,00 €;1 232,61 €;4044661749331;829193749936;7
1.1.2;16215382;MT Birch 22x17.25 BD NM #CBU;"Bass Drum 22"" x 17.25"" (no Mount), Birch, California Burl";1 880,00 €;1 200,67 €;4044661749348;829193749943;7
1.1.2;16215524;MT Maple 22x17.25 BD NM #REP;"Bass Drum 22"" x 17.25"" (no Mount), Maple, Red Pearl";1 830,00 €;1 168,74 €;4044661749355;829193749950;14
1.1.2;16215536;MT Maple 22x17.25 BD NM #GTB;"Bass Drum 22"" x 17.25"" (no Mount), Maple, GT Black";1 980,00 €;1 264,54 €;4044661749362;829193749967;0
1.1.2;16215540;MT Maple 22x17.25 BD NM #SPW;"Bass Drum 22"" x 17.25"" (no Mount), Maple, Satin Pure White";1 980,00 €;1 264,54 €;4044661749379;829193749974;4
1.1.2;16215582;MT Maple 22x17.25 BD NM #CBU;"Bass Drum 22"" x 17.25"" (no Mount), Maple, California Burl";1 930,00 €;1 232,61 €;4044661749386;829193749981;0
1.1.2;16217124;MT Beech 24x15.25 BD NM #REP;"Bass Drum 24"" x 15.25"" (no Mount), Beech, Red Pearl";1 680,00 €;1 072,94 €;4044661749393;829193749998;2
1.1.2;16217136;MT Beech 24x15.25 BD NM #GTB;"Bass Drum 24"" x 15.25"" (no Mount), Beech, GT Black";1 830,00 €;1 168,74 €;4044661749409;829193750000;3
1.1.2;16217140;MT Beech 24x15.25 BD NM #SPW;"Bass Drum 24"" x 15.25"" (no Mount), Beech, Satin Pure White";1 830,00 €;1 168,74 €;4044661749416;829193750017;4
