;;;;;;;;
;SONOR Pricelist 2026;;;RRP €;Dealer Base €;EAN;UPC;Free-Stock [pcs.]
;;;;;;;;
1;Drums;;;;;;;
1.1;MOMENTUM Drum Series;;;;;;;
1.1.1;MOMENTUM Shell Sets;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.5.1;17503440;AQ2 Stage Shell Set WM #TQZ;"BD 22"" x 17.5"" (with Mount), SD 14"" x 06"", TT 10"" x 07"", TT 12"" x 08"", FT 16"" x 15"", Maple, DTH 4000, Titanium Quartz";1 599,00 €;1 021,21 €;4044661503353;829193503354;2
1.5.1;17503464;AQ2 Stage Shell Set WM #TSB;"BD 22"" x 17.5"" (with Mount), SD 14"" x 06"", TT 10"" x 07"", TT 12"" x 08"", FT 16"" x 15"", Maple, DTH 4000, Transparent Stain Black";1 599,00 €;1 021,21 €;4044661503315;829193503316;0
1.5.1;17503522;AQ2 Martini Shell Set WM #BRF;"BD 14"" x 13"" (with Mount), SD 12"" x 05"", TT 08"" x 07"", FT 13"" x 12"", Maple, Steel Snare Drum, CTH 4000, Brown Fade";999,00 €;638,02 €;4044661503384;829193503385;7
1.5.1;17503535;AQ2 Martini Shell Set WM #WHP;"BD 14"" x 13"" (with Mount), SD 12"" x 05"", TT 08"" x 07"", FT 13"" x 12"", Maple, Steel Snare Drum, CTH 4000, White Pearl";949,00 €;606,08 €;4044661503391;829193503392;6
1.5.1;17503540;AQ2 Martini Shell Set WM #TQZ;"BD 14"" x 13"" (with Mount), SD 12"" x 05"", TT 08"" x 07"", FT 13"" x 12"", Maple, Steel Snare Drum, CTH 4000, Titanium Quartz";999,00 €;638,02 €;4044661503407;829193503408;3
1.5.1;17503564;AQ2 Martini Shell Set WM #TSB;"BD 14"" x 13"" (with Mount), SD 12"" x 05"", TT 08"" x 07"", FT 13"" x 12"", Maple, Steel Snare Drum, CTH 4000, Transparent Stain Black";999,00 €;638,02 €;4044661503360;829193503361;5
1.5.1;17503622;AQ2 Safari Shell Set WM #BRF;"BD 16"" x 15"" (with Mount), SD 13"" x 06"", TT 10"" x 07"", FT 13"" x 12"", Maple, CTH 4000, Brown Fade";1 149,00 €;733,82 €;4044661503438;829193503439;3
1.5.1;17503635;AQ2 Safari Shell Set WM #WHP;"BD 16"" x 15"" (with Mount), SD 13"" x 06"", TT 10"" x 07"", FT 13"" x 12"", Maple, CTH 4000, White Pearl";1 049,00 €;669,95 €;4044661503445;829193503446;10
1.5.1;17503640;AQ2 Safari Shell Set WM #TQZ;"BD 16"" x 15"" (with Mount), SD 13"" x 06"", TT 10"" x 07"", FT 13"" x 12"", Maple, CTH 4000, Titanium Quartz";1 149,00 €;733,82 €;4044661503452;829193503453;8
1.5.1;17503664;AQ2 Safari Shell Set WM #TSB;"BD 16"" x 15"" (with Mount), SD 13"" x 06"", TT 10"" x 07"", FT 13"" x 12"", Maple, CTH 4000, Transparent Stain Black";1 149,00 €;733,82 €;4044661503414;829193503415;4
1.5.1;17503722;AQ2 Bop Shell Set WM #BRF;"BD 18"" x 14"" (with Mount), SD 14"" x 06"", TT 12"" x 08"", FT 14"" x 13"", Maple, CTH 4000, Brown Fade";1 199,00 €;765,75 €;4044661503483;829193503484;0
1.5.1;17503735;AQ2 Bop Shell Set WM #WHP;"BD 18"" x 14"" (with Mount), SD 14"" x 06"", TT 12"" x 08"", FT 14"" x 13"", Maple, CTH 4000, White Pearl";1 099,00 €;701,88 €;4044661503490;829193503491;0
1.5.1;17503740;AQ2 Bop Shell Set WM #TQZ;"BD 18"" x 14"" (with Mount), SD 14"" x 06"", TT 12"" x 08"", FT 14"" x 13"", Maple, CTH 4000, Titanium Quartz";1 199,00 €;765,75 €;4044661503506;829193503507;2
1.5.1;17503764;AQ2 Bop Shell Set WM #TSB;"BD 18"" x 14"" (with Mount), SD 14"" x 06"", TT 12"" x 08"", FT 14"" x 13"", Maple, CTH 4000, Transparent Stain Black";1 199,00 €;765,75 €;4044661503469;829193503460;10
;;;;;;;;
;;;;;;;;
1.5.2;AQ2 Single Drums;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.5.2;17622022;AQ2 1413 BD WM #BRF;"Bass Drum 14"" x 13"" (with Mount), Maple, Brown Fade";469,00 €;299,53 €;4044661505968;829193505969;7
1.5.2;17622035;AQ2 1413 BD WM #WHP;"Bass Drum 14"" x 13"" (with Mount), Maple, White Pearl";469,00 €;299,53 €;4044661505982;829193505983;5
1.5.2;17622040;AQ2 1413 BD WM #TQZ;"Bass Drum 14"" x 13"" (with Mount), Maple, Titanium Quartz";469,00 €;299,53 €;4044661505999;829193505990;2
1.5.2;17622064;AQ2 1413 BD WM #TSB;"Bass Drum 14"" x 13"" (with Mount), Maple, Transparent Stain Black";469,00 €;299,53 €;4044661506002;829193506003;0
1.5.2;17622122;AQ2 1615 BD WM #BRF;"Bass Drum 16"" x 15"" (with Mount), Maple, Brown Fade";539,00 €;344,24 €;4044661506019;829193506010;2
1.5.2;17622135;AQ2 1615 BD WM #WHP;"Bass Drum 16"" x 15"" (with Mount), Maple, White Pearl";539,00 €;344,24 €;4044661506033;829193506034;4
1.5.2;17622140;AQ2 1615 BD WM #TQZ;"Bass Drum 16"" x 15"" (with Mount), Maple, Titanium Quartz";539,00 €;344,24 €;4044661506040;829193506041;2
1.5.2;17622164;AQ2 1615 BD WM #TSB;"Bass Drum 16"" x 15"" (with Mount), Maple, Transparent Stain Black";539,00 €;344,24 €;4044661506057;829193506058;0
1.5.2;17622222;AQ2 1814 BD WM #BRF;"Bass Drum 18"" x 14"" (with Mount), Maple, Brown Fade";579,00 €;369,78 €;4044661506064;829193506065;3
1.5.2;17622235;AQ2 1814 BD WM #WHP;"Bass Drum 18"" x 14"" (with Mount), Maple, White Pearl";579,00 €;369,78 €;4044661506088;829193506089;1
1.5.2;17622240;AQ2 1814 BD WM #TQZ;"Bass Drum 18"" x 14"" (with Mount), Maple, Titanium Quartz";579,00 €;369,78 €;4044661506095;829193506096;0
1.5.2;17622264;AQ2 1814 BD WM #TSB;"Bass Drum 18"" x 14"" (with Mount), Maple, Transparent Stain Black";579,00 €;369,78 €;4044661506101;829193506102;4
1.5.2;17622322;AQ2 2016 BD WM #BRF;"Bass Drum 20"" x 16"" (with Mount), Maple, Brown Fade";659,00 €;420,87 €;4044661504220;829193504221;0
1.5.2;17622335;AQ2 2016 BD WM #WHP;"Bass Drum 20"" x 16"" (with Mount), Maple, White Pearl";659,00 €;420,87 €;4044661504237;829193504238;5
1.5.2;17622340;AQ2 2016 BD WM #TQZ;"Bass Drum 20"" x 16"" (with Mount), Maple, Titanium Quartz";659,00 €;420,87 €;4044661504244;829193504245;4
1.5.2;17622364;AQ2 2016 BD WM #TSB;"Bass Drum 20"" x 16"" (with Mount), Maple, Transparent Stain Black";659,00 €;420,87 €;4044661504206;829193504207;1
1.5.2;17622422;AQ2 2217 BD WM #BRF;"Bass Drum 22"" x 17.5"" (with Mount), Maple, Brown Fade";699,00 €;446,42 €;4044661504312;829193504313;4
1.5.2;17622435;AQ2 2217 BD WM #WHP;"Bass Drum 22"" x 17.5"" (with Mount), Maple, White Pearl";699,00 €;446,42 €;4044661504336;829193504337;0
1.5.2;17622440;AQ2 2217 BD WM #TQZ;"Bass Drum 22"" x 17.5"" (with Mount), Maple, Titanium Quartz";699,00 €;446,42 €;4044661504343;829193504344;2
1.5.2;17622464;AQ2 2217 BD WM #TSB;"Bass Drum 22"" x 17.5"" (with Mount), Maple, Transparent Stain Black";699,00 €;446,42 €;4044661504305;829193504306;4
1.5.2;17632022;AQ2 0807 TT # BRF;"Tom 08"" x 07"", Maple, Brown Fade";199,00 €;127,09 €;4044661504428;829193504429;0
1.5.2;17632035;AQ2 0807 TT # WHP;"Tom 08"" x 07"", Maple, White Pearl";199,00 €;127,09 €;4044661504435;829193504436;0
1.5.2;17632040;AQ2 0807 TT # TQZ;"Tom 08"" x 07"", Maple, Titanium Quartz";199,00 €;127,09 €;4044661504442;829193504443;7
1.5.2;17632064;AQ2 0807 TT # TSB;"Tom 08"" x 07"", Maple, Transparent Stain Black";199,00 €;127,09 €;4044661504404;829193504405;0
1.5.2;17632122;AQ2 1007 TT #BRF;"Tom 10"" x 07"", Maple, Brown Fade";219,00 €;139,87 €;4044661504459;829193504450;0
1.5.2;17632135;AQ2 1007 TT #WHP;"Tom 10"" x 07"", Maple, White Pearl";219,00 €;139,87 €;4044661504473;829193504474;6
1.5.2;17632140;AQ2 1007 TT #TQZ;"Tom 10"" x 07"", Maple, Titanium Quartz";219,00 €;139,87 €;4044661504480;829193504481;9
1.5.2;17632164;AQ2 1007 TT #TSB;"Tom 10"" x 07"", Maple, Transparent Stain Black";219,00 €;139,87 €;4044661504497;829193504498;0
1.5.2;17632222;AQ2 1208 TT #BRF;"Tom 12"" x 08"", Maple, Brown Fade";239,00 €;152,64 €;4044661504503;829193504504;5
1.5.2;17632235;AQ2 1208 TT #WHP;"Tom 12"" x 08"", Maple, White Pearl";239,00 €;152,64 €;4044661504527;829193504528;0
1.5.2;17632240;AQ2 1208 TT #TQZ;"Tom 12"" x 08"", Maple, Titanium Quartz";239,00 €;152,64 €;4044661504534;829193504535;9
1.5.2;17632264;AQ2 1208 TT #TSB;"Tom 12"" x 08"", Maple, Transparent Stain Black";239,00 €;152,64 €;4044661504541;829193504542;0
1.5.2;17642022;AQ2 1312 FT #BRF;"Floor Tom 13"" x 12"", Maple, Brown Fade";299,00 €;190,96 €;4044661506118;829193506119;8
1.5.2;17642035;AQ2 1312 FT #WHP;"Floor Tom 13"" x 12"", Maple, White Pearl";299,00 €;190,96 €;4044661506132;829193506133;8
1.5.2;17642040;AQ2 1312 FT #TQZ;"Floor Tom 13"" x 12"", Maple, Titanium Quartz";299,00 €;190,96 €;4044661506149;829193506140;4
1.5.2;17642064;AQ2 1312 FT #TSB;"Floor Tom 13"" x 12"", Maple, Transparent Stain Black";299,00 €;190,96 €;4044661506156;829193506157;2
1.5.2;17642122;AQ2 1413 FT #BRF;"Floor Tom 14"" x 13"", Maple, Brown Fade";329,00 €;210,12 €;4044661504732;829193504733;5
1.5.2;17642135;AQ2 1413 FT #WHP;"Floor Tom 14"" x 13"", Maple, White Pearl";329,00 €;210,12 €;4044661504749;829193504740;0
1.5.2;17642140;AQ2 1413 FT #TQZ;"Floor Tom 14"" x 13"", Maple, Titanium Quartz";329,00 €;210,12 €;4044661504718;829193504719;0
1.5.2;17642164;AQ2 1413 FT #TSB;"Floor Tom 14"" x 13"", Maple, Transparent Stain Black";329,00 €;210,12 €;4044661504701;829193504702;0
1.5.2;17642222;AQ2 1615 FT #BRF;"Floor Tom 16"" x 15"", Maple, Brown Fade";369,00 €;235,66 €;4044661504756;829193504757;8
1.5.2;17642235;AQ2 1615 FT #WHP;"Floor Tom 16"" x 15"", Maple, White Pearl";369,00 €;235,66 €;4044661504770;829193504771;0
1.5.2;17642240;AQ2 1615 FT #TQZ;"Floor Tom 16"" x 15"", Maple, Titanium Quartz";369,00 €;235,66 €;4044661504787;829193504788;7
1.5.2;17642264;AQ2 1615 FT #TSB;"Floor Tom 16"" x 15"", Maple, Transparent Stain Black";369,00 €;235,66 €;4044661504794;829193504795;0
;;;;;;;;
;;;;;;;;
1.5.3;AQ2 Snare Drums;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.5.3;17612001;AQ2 1205 SDS;"Snare Drum 12"" x 05"", Steel, Chrome Finish";189,00 €;120,71 €;4044661506361;829193506362;0
1.5.3;17612101;AQ2 1455 SDS;"Snare Drum 14"" x 5.5"", Steel, Chrome Finish";219,00 €;139,87 €;4044661505005;829193505006;22
1.5.3;17612522;AQ2 1306 SDW #BRF;"Snare Drum 13"" x 06"", Maple, Brown Fade";259,00 €;165,41 €;4044661504923;829193504924;2
1.5.3;17612535;AQ2 1306 SDW #WHP;"Snare Drum 13"" x 06"", Maple, White Pearl";259,00 €;165,41 €;4044661504930;829193504931;4
1.5.3;17612540;AQ2 1306 SDW #TQZ;"Snare Drum 13"" x 06"", Maple, Titanium Quartz";259,00 €;165,41 €;4044661504947;829193504948;8
1.5.3;17612564;AQ2 1306 SDW #TSB;"Snare Drum 13"" x 06"", Maple, Transparent Stain Black";259,00 €;165,41 €;4044661504909;829193504900;2
1.5.3;17612622;AQ2 1406 SDW #BRF;"Snare Drum 14"" x 06"", Maple, Brown Fade";279,00 €;178,18 €;4044661504961;829193504962;0
1.5.3;17612635;AQ2 1406 SDW #WHP;"Snare Drum 14"" x 06"", Maple, White Pearl";279,00 €;178,18 €;4044661504985;829193504986;6
1.5.3;17612640;AQ2 1406 SDW #TQZ;"Snare Drum 14"" x 06"", Maple, Titanium Quartz";279,00 €;178,18 €;4044661504992;829193504993;6
1.5.3;17612664;AQ2 1406 SDW #TSB;"Snare Drum 14"" x 06"", Maple, Transparent Stain Black";279,00 €;178,18 €;4044661504954;829193504955;0
;;;;;;;;
;;;;;;;;
1.6;AQ1 Drum Sets ;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.5;17500110;AQ1 Studio Set WM #PB;"BD 20"" x 16"" (with Mount), SD 14"" x 06"", TT 10"" x 07"", TT 12"" x 08"", FT 14"" x 13"", Birch, DTH 2000, HS 2000, Piano Black";1 449,00 €;925,41 €;4044661503131;829193503132;6
1.5;17500113;AQ1 Studio Set WM #PW;"BD 20"" x 16"" (with Mount), SD 14"" x 06"", TT 10"" x 07"", TT 12"" x 08"", FT 14"" x 13"", Birch, DTH 2000, HS 2000, Piano White";1 449,00 €;925,41 €;4044661505807;829193505808;3
1.5;17500114;AQ1 Studio Set WM #CB;"BD 20"" x 16"" (with Mount), SD 14"" x 06"", TT 10"" x 07"", TT 12"" x 08"", FT 14"" x 13"", Birch, DTH 2000, HS 2000, Caribbean Blue";1 449,00 €;925,41 €;4044661742127;829193742722;6
1.5;17500410;AQ1 Stage Set WM #PB;"BD 22"" x 17.5"" (with Mount), SD 14"" x 06"", TT 10"" x 07"", TT 12"" x 08"", FT 16"" x 15"", Birch, DTH 2000, HS 2000, Piano Black";1 469,00 €;938,18 €;4044661503148;829193503149;0
1.5;17500413;AQ1 Stage Set WM #PW;"BD 22"" x 17.5"" (with Mount), SD 14"" x 06"", TT 10"" x 07"", TT 12"" x 08"", FT 16"" x 15"", Birch, DTH 2000, HS 2000, Piano White";1 469,00 €;938,18 €;4044661505814;829193505815;0
1.5;17500414;AQ1 Stage Set WM #CB;"BD 22"" x 17.5"" (with Mount), SD 14"" x 06"", TT 10"" x 07"", TT 12"" x 08"", FT 16"" x 15"", Birch, DTH 2000, HS 2000, Caribbean Blue";1 469,00 €;938,18 €;4044661742134;829193742739;0
;;;;;;;;
;;;;;;;;
1.7;AQX Drum Sets ;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.6;17505647;AQX Jungle Shell Set WM #BMS;"BD 16"" x 15"" (with Mount), SD 13"" x 06"", TT 10"" x 07"", FT 13"" x 12"", Poplar, CTH 4000, Black Midnight Sparkle";629,00 €;407,00 €;4044661734849;829193734840;6
1.6;17505648;AQX Jungle Shell Set WM #BOS;"BD 16"" x 15"" (with Mount), SD 13"" x 06"", TT 10"" x 07"", FT 13"" x 12"", Poplar, CTH 4000, Blue Ocean Sparkle";629,00 €;407,00 €;4044661734856;829193734857;9
1.6;17505649;AQX Jungle Shell Set WM #RMS;"BD 16"" x 15"" (with Mount), SD 13"" x 06"", TT 10"" x 07"", FT 13"" x 12"", Poplar, CTH 4000, Red Moon Sparkle";629,00 €;407,00 €;4044661734863;829193734864;1
1.6;17505747;AQX Jazz Shell Set WM #BMS;"BD 18"" x 14"" (with Mount), SD 13"" x 06"", TT 12"" x 08"", FT 14"" x 13"", Poplar, CTH 4000, Black Midnight Sparkle";679,00 €;439,35 €;4044661734894;829193734895;1
1.6;17505748;AQX Jazz Shell Set WM #BOS;"BD 18"" x 14"" (with Mount), SD 13"" x 06"", TT 12"" x 08"", FT 14"" x 13"", Poplar, CTH 4000, Blue Ocean Sparkle";679,00 €;439,35 €;4044661734870;829193734871;6
1.6;17505749;AQX Jazz Shell Set WM #RMS;"BD 18"" x 14"" (with Mount), SD 13"" x 06"", TT 12"" x 08"", FT 14"" x 13"", Poplar, CTH 4000, Red Moon Sparkle";679,00 €;439,35 €;4044661734887;829193734888;5
1.6;17505847;AQX Micro Shell Set WM #BMS;"BD 14"" x 13"" (with Mount), SD 13"" x 06"", TT 08"" x 07"", FT 13"" x 12"", Poplar, CTH 4000, Black Midnight Sparkle";599,00 €;387,59 €;4044661734818;829193734819;19
1.6;17505848;AQX Micro Shell Set WM #BOS;"BD 14"" x 13"" (with Mount), SD 13"" x 06"", TT 08"" x 07"", FT 13"" x 12"", Poplar, CTH 4000, Blue Ocean Sparkle";599,00 €;387,59 €;4044661734825;829193734826;9
1.6;17505849;AQX Micro Shell Set WM #RMS;"BD 14"" x 13"" (with Mount), SD 13"" x 06"", TT 08"" x 07"", FT 13"" x 12"", Poplar, CTH 4000, Red Moon Sparkle";599,00 €;387,59 €;4044661734832;829193734833;17
1.6;17507147;AQX Studio Set WM #BMS;"BD 20"" x 16"" (with Mount), SD 14"" x 5.5"", TT 10"" x 07"", TT 12"" x 08"", FT 14"" x 13"", Poplar, DTH 2000, HS 1000, B8 Cymbal-Set, Black Midnight Sparkle";999,00 €;646,41 €;4044661734689;829193734680;0
1.6;17507148;AQX Studio Set WM #BOS;"BD 20"" x 16"" (with Mount), SD 14"" x 5.5"", TT 10"" x 07"", TT 12"" x 08"", FT 14"" x 13"", Poplar, DTH 2000, HS 1000, B8 Cymbal-Set, Blue Ocean Sparkle";999,00 €;646,41 €;4044661734900;829193734901;0
1.6;17507149;AQX Studio Set WM #RMS;"BD 20"" x 16"" (with Mount), SD 14"" x 5.5"", TT 10"" x 07"", TT 12"" x 08"", FT 14"" x 13"", Poplar, DTH 2000, HS 1000, B8 Cymbal-Set, Red Moon Sparkle";999,00 €;646,41 €;4044661734917;829193734918;0
1.6;17507447;AQX Stage Set WM #BMS;"BD 22"" x 16"" (with Mount), SD 14"" x 5.5"", TT 10"" x 07"", TT 12"" x 08"", FT 16"" x 15"", Poplar, DTH 2000, HS 1000, B8 Cymbal-Set, Black Midnight Sparkle";999,00 €;646,41 €;4044661734924;829193734925;0
1.6;17507448;AQX Stage Set WM #BOS;"BD 22"" x 16"" (with Mount), SD 14"" x 5.5"", TT 10"" x 07"", TT 12"" x 08"", FT 16"" x 15"", Poplar, DTH 2000, HS 1000, B8 Cymbal-Set, Blue Ocean Sparkle";999,00 €;646,41 €;4044661734931;829193734932;0
1.6;17507449;AQX Stage Set WM #RMS;"BD 22"" x 16"" (with Mount), SD 14"" x 5.5"", TT 10"" x 07"", TT 12"" x 08"", FT 16"" x 15"", Poplar, DTH 2000, HS 1000, B8 Cymbal-Set, Red Moon Sparkle";999,00 €;646,41 €;4044661734948;829193734949;0
;;;;;;;;
;;;;;;;;
1.8;Snare Drums;;;;;;;
1.8.1;Signature Snare Drums ;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.8.1;11173801;SSD 13x5.75 BG SDW 2.0;"Signature Snare Drum 13"" x 5.75"", Benny Greb, Beech, Scandinavian Birch with Bubinga Inlay Semi-Gloss";929,00 €;624,54 €;4044661730605;829193736424;0
1.8.1;11173901;SSD 13x5.75 BG SDB 2.0;"Signature Snare Drum 13"" x 5.75"", Benny Greb, Brass, Aged Brass";999,00 €;671,60 €;4044661730612;829193736431;0
1.8.1;11177001;SSD 1205 GH SE;"Signature Snare Drum 12"" x 05"", Gavin Harrison, Birch, Standard Edition with Tuning Keys, Dampening Rings, Matte Black Lacquer";859,00 €;577,48 €;4044661451333;829193451334;2
1.8.1;11177101;SSD 14x5.25 GH SE ;"Signature Snare Drum 14"" x 5.25"", Gavin Harrison, Birch, Standard Edition with Tuning Keys, Dampening Rings, Matte Black Lacquer";919,00 €;617,82 €;4044661451340;829193451341;0
1.8.1;11177201;SSD 1205 GH PE;"Signature Snare Drum 12"" x 05"", Gavin Harrison, Birch, Premium Edition with Tuning Keys, Dampening Rings, Snare Wires, Hardcase, Matte Black Lacquer";1 099,00 €;738,82 €;4044661453689;829193453680;3
1.8.1;11177301;SSD 14x5.25 GH PE ;"Signature Snare Drum 14"" x 5.25"", Gavin Harrison, Birch, Premium Edition with Tuning Keys, Dampening Rings, Snare Wires, Hardcase, Matte Black Lacquer";1 199,00 €;806,05 €;4044661453696;829193453697;0
1.8.1;11177801;SSD 14x6.25 JN SDW;"Signature Snare Drum 14"" x 6.25"", Jost Nickel, Beech, Piano Black with Silver Sparkle Stripe";999,00 €;671,60 €;4044661511730;829193511731;3
;;;;;;;;
;;;;;;;;
1.8.2;Artist Snare Drums;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.8.2;11176345;AS 1406 CM SDWD;"Artist Snare Drum 14"" x 06"", Maple, Die-Cast Hoops, Cottonwood Semi-Gloss";1 099,00 €;701,88 €;4044661442959;829193442950;0
1.8.2;11176601;AS 1406 BRB SDBD;"Artist Snare Drum 14"" x 06"", Bronze, Die-Cast Hoops, Black Hardware, Bronze Finish";3 299,00 €;2 106,92 €;4044661442997;829193442998;0
1.8.2;11176709;AS 1307 AM SDW;"Artist Snare Drum 13"" x 07"", Maple, Gold Hardware, Amboina High-Gloss";1 449,00 €;925,41 €;4044661443000;829193443001;0
1.8.2;11176868;AS 1405 MB SDW;"Artist Snare Drum 14"" x 05"", Maple, Gold Hardware, Scandinavian Birch Semi-Gloss";1 299,00 €;829,61 €;4044661443017;829193443018;6
1.8.2;11177631;AS 1305 TI SDW;"Artist Snare Drum 13"" x 05"", Beech, Tineo High-Gloss";1 249,00 €;797,68 €;4044661490943;829193490944;1
;;;;;;;;
;;;;;;;;
1.8.3;Special Snare Drums;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.8.3;11101867;D 515 PA;"Phonic Reissue Snare Drum 14"" x 5.75"", Beech, Die-Cast Hoops, Rosewood Semi-Gloss";1 129,00 €;721,04 €;4044661080274;829193080275;9
1.8.3;11101962;D 516 MR;"Phonic Reissue Snare Drum 14"" x 6.5"", Beech, Die-Cast Hoops, Mahagony Semi-Gloss";1 049,00 €;669,95 €;4044661080328;829193080329;0
1.8.3;17314452;SEF 1002 SJ;"Jungle Snare Drum 10"" x 02"", Maple, with Jingles, Natural Semi-Gloss";179,00 €;114,32 €;4044661396955;829193396956;35
;;;;;;;;
;;;;;;;;
1.8.4;Kompressor Snare Drums Beech;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.8.4;11171001;KS 1307 SDW;"Kompressor Snare Drum, 13""x07"", Beech, Power Hoops, Natural Beech Semi-Gloss";689,00 €;440,03 €;4044661742752;829193743354;54
1.8.4;11171101;KS 1406 SDW;"Kompressor Snare Drum, 14""x06"", Beech, Power Hoops, Natural Beech Semi-Gloss";639,00 €;408,10 €;4044661742769;829193743361;25
;;;;;;;;
;;;;;;;;
1.8.5;Kompressor Snare Drums Metal;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.8.5;17710101;KS 13x07 SDB;"Kompressor Snare Drum, 13"" x 07"", Brass, Power Hoops, Black Nickel plated";589,00 €;376,17 €;4044661734702;829193734703;7
1.8.5;17710201;KS 14x5.75 SDS;"Kompressor Snare Drum, 14"" x 5.75"", Steel, Power Hoops, Chrome plated";329,00 €;210,12 €;4044661734719;829193734710;0
1.8.5;17710301;KS 14x5.75 SDB;"Kompressor Snare Drum, 14"" x 5.75"", Brass, Power Hoops, Black Nickel plated";589,00 €;376,17 €;4044661734726;829193734727;0
1.8.5;17710401;KS 14x5.75 SDA;"Kompressor Snare Drum, 14"" x 5.75"", Aluminum, Power Hoops, Polished";649,00 €;414,49 €;4044661734733;829193734734;1
1.8.5;17710501;KS 14x6.5 SDS;"Kompressor Snare Drum, 14"" x 6.5"", Steel, Power Hoops, Chrome plated";349,00 €;222,89 €;4044661734740;829193734741;0
1.8.5;17710601;KS 14x6.5 SDB;"Kompressor Snare Drum, 14"" x 6.5"", Brass, Power Hoops, Black Nickel plated";599,00 €;382,55 €;4044661735051;829193735052;0
1.8.5;17710701;KS 14x6.5 SDA;"Kompressor Snare Drum, 14"" x 6.5"", Aluminum, Power Hoops, Polished";649,00 €;414,49 €;4044661735068;829193735069;0
1.8.5;17710801;KS 14x08 SDA;"Kompressor Snare Drum, 14"" x 08"", Aluminum, Power Hoops, Polished";699,00 €;446,42 €;4044661735075;829193735076;0
;;;;;;;;
;;;;;;;;
1.9;Hardware;;;;;;;
1.9.1;Hardware 600 / 6000;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.9.1;13574501;DTH 653 G;Double Tom Holder, for SQ2 BD Plate, Gold Plated;429,90 €;274,56 €;4044661045983;829193045984;0
1.9.1;13574601;DTH 653 B;Double Tom Holder, for SQ2 BD Plate, Black Plated;429,00 €;273,98 €;4044661045990;829193045991;2
1.9.1;13575301;DTH 653 C;Double Tom Holder, for SQ2 BD Plate, Chrome Plated;359,90 €;229,85 €;4044661059522;829193059523;2
1.9.1;13575401;STH 651 C;Single Tom Holder, for SQ2 BD Plate, Chrome Plated;239,90 €;153,21 €;4044661059492;829193059493;0
1.9.1;13575501;STH 651 B;Single Tom Holder, for SQ2 BD Plate, Black Plated;289,90 €;185,15 €;4044661059508;829193059509;1
1.9.1;13575601;STH 651 G;Single Tom Holder, for SQ2 BD Plate, Gold Plated;289,90 €;185,15 €;4044661059515;829193059516;2
1.9.1;13577001;SP 673 ;Single Pedal, Double Chain, Base Plate, Smart Connect System with Docking Station, incl. Bag;399,90 €;255,40 €;4044661058426;829193058427;5
1.9.1;13577101;DP 672 ;Double Pedal, Double Chain, Base Plate, Smart Connect System with Docking Station, incl. Bag;899,00 €;574,15 €;4044661058433;829193058434;12
1.9.1;13577301;XH 674 ;X-Hat Holder with HiHat Clutch;69,00 €;44,07 €;4044661058457;829193058458;40
1.9.1;13583001;HH 674 MC;HiHat Stand, Double Braced, Base Plate, Adjustable Spring Tension, Independantly rotateable 3rd Leg, 3 Legs;499,90 €;319,26 €;4044661342693;829193342694;28
1.9.1;13583101;HH 684 MC;HiHat Stand, Double Braced, Base Plate, Adjustable Spring Tension, Independantly rotateable 2nd Leg, 2 Legs;649,00 €;414,49 €;4044661342709;829193342700;6
1.9.1;13583201;SS 677 MC;Snare Drum Stand, Double Braced, Gearless Tilter, Quick Release Lever, Independantly rotateable 3rd Leg;259,90 €;165,99 €;4044661342716;829193342717;3
1.9.1;13583301;CBS 672 MC;Cymbal Boom Stand, Double Braced, Fine Geared Tilter, Independantly rotateable 3rd Leg;329,90 €;210,69 €;4044661342723;829193342724;36
1.9.1;13583401;CBA 671 MC;Cymbal Boom Arm, Fine Geared Tilter;98,90 €;63,16 €;4044661342730;829193342731;41
1.9.1;13583501;DTS 675 MC;Double Tom Stand, Double Braced, 2 Omni-Ball Tom Arms, Independantly rotateable 3rd Leg;319,90 €;204,31 €;4044661342747;829193342748;33
1.9.1;13583601;STS 676 MC;Single Tom Stand, Double Braced, Omni-Ball Tom Arm, Independantly rotateable 3rd Leg;269,90 €;172,37 €;4044661342754;829193342755;15
1.9.1;13583701;CTS 679 MC;Cymbal Tom Stand, Double Braced, Boom Arm with fine geared Tilter, Omni-Ball Tom Arm, Independantly rotateable 3rd Leg;449,90 €;287,33 €;4044661342761;829193342762;13
