id,release,ccgart,ccgartdot,marke,ccgbel1,availableQuantity
38487162,,170955,170.955,GEWA,Sluchátka HP six,0
38487163,,170980,170.980,GEWA,Sluchátka HP eight,200
38487164,,170990,170.990,GEWA,Sluchátka HP nine-x,192
38487165,,170995,170.995,GEWA,Sluchátka HP nine-xo,200
38487166,,190000,190.000,GEWA,Kabel pro nástroje mono Basic Line,200
38487167,,190005,190.005,GEWA,Kabel pro nástroje mono Basic Line,200
38487168,,190010,190.010,GEWA,Kabel pro nástroje mono Basic Line,144
38487169,,190020,190.020,GEWA,Kabel pro nástroje stereo Basic Line,200
38487170,,190025,190.025,GEWA,Kabel pro nástroje stereo Basic Line,196
38487171,,190030,190.030,GEWA,Kabel pro nástroje stereo Basic Line,49
38487172,,190032,190.032,GEWA,Kabel pro nástroje mono Basic Line,200
38487173,,190034,190.034,GEWA,Kabel pro nástroje mono Basic Line,174
38487174,,190036,190.036,GEWA,Kabel pro nástroje mono Basic Line,184
38487175,,190040,190.040,GEWA,Kabel pro mikrofon Basic Line,200
38487176,,190045,190.045,GEWA,Kabel pro mikrofon Basic Line,200
38487177,,190050,190.050,GEWA,Kabel pro mikrofon Basic Line,61
38487178,,190060,190.060,GEWA,Kabel pro mikrofon Basic Line,200
38487179,,190065,190.065,GEWA,Kabel pro mikrofon Basic Line,157
38487180,,190070,190.070,GEWA,Kabel pro mikrofon Basic Line,29
38487181,,190100,190.100,GEWA,Y-Cable Basic Line,67
38487182,,190105,190.105,GEWA,Y-Cable Basic Line,157
38487183,,190110,190.110,GEWA,Y-Cable Basic Line,83
38487184,,190120,190.120,GEWA,Y-Cable Basic Line,200
38487185,,190125,190.125,GEWA,Y-Cable Basic Line,200
38487186,,190130,190.130,GEWA,Y-Cable Basic Line,200
38487187,,190140,190.140,GEWA,Y-Cable Basic Line,57
38487188,,190145,190.145,GEWA,Y-Cable Basic Line,112
38487189,,190150,190.150,GEWA,Y-Cable Basic Line,23
38487190,,190155,190.155,GEWA,Y-Cable Basic Line,124
